item,name
Q64222331,Dieter Vanbesien
Q65271029,Dominiek Sneppe
Q1924559,Eliane Tillieux
Q2888701,Eric Thiébaut
Q3193290,Karin Jiroflée
Q99887529,Leslie Leoni
Q64688410,Roberto D'Amico
Q568259,Ahmed Laaouej
Q64140474,Albert Vicaire
Q518520,André Flahaut
Q64667306,Anja Vanrobaeys
Q18755697,Anneleen Van Bossuyt
Q2851594,Annick Ponthier
Q65282941,Barbara Creemers
Q2884009,Barbara Pas
Q79413813,Ben Segers
Q17350847,Benoît Piedboeuf
Q23645428,Bert Moyaers
Q2417142,Bert Wollants
Q17332663,Björn Anseeuw
Q64157225,Caroline Taquin
Q2835834,Catherine Fonck
Q107466577,Chanelle Bonaventure
Q5109850,Christian Leysen
Q2305667,Christoph D'Haese
Q91117681,Christophe Bombled
Q2966321,Christophe Lacroix
Q101627579,Claire Hugon
Q99887577,Cécile Cornet
Q3009792,Cécile Thibaut
Q2949528,Daniel Bacquelaine
Q3014674,Daniel Senesael
Q22342547,Darya Safai
Q3022653,Denis Ducarme
Q15127115,Egbert Lachaert
Q65270846,Ellen Samyn
Q3051696,Els Van Hoof
Q1151266,Emir Kir
Q17428062,Emmanuel Burton
Q65270445,Erik Gilissen
Q101056122,Eva Platteau
Q17429594,Evita Willaert
Q3074022,Florence Reuter
Q65271176,Frank Troosters
Q17428138,Franky Demon
Q18073067,François De Smet
Q64137709,Frieda Gijbels
Q17428223,Gaby Colebunders
Q3102539,Georges Dallemagne
Q20871279,Gilles Vanden Burre
Q104191780,Gitta Vanpeborgh
Q2195593,Goedele Liekens
Q64686925,Greet Daems
Q100604730,Guillaume Defossé
Q13653620,Hans Verreyt
Q1819614,Hendrik Bogaert
Q68012836,Hervé Rigot
Q3142509,Hugues Bayet
Q4343491,Jan Briers
Q99937784,Jasper Pillen
Q2107147,Jean-Marc Delizée
Q981442,Jean-Marie Dedecker
Q1974298,Jef Van den Bergh
Q3183927,Joris Vandenbroucke
Q2097477,Josy Arens
Q61653971,Joy Donné
Q64140045,Julie Chanson
Q64210661,Kathleen Depoorter
Q63845242,Kathleen Verhelst
Q18433796,Katja Gabriëls
Q65269549,Katleen Bury
Q64138473,Katrien Houtmeyers
Q733266,Kattrin Jadin
Q68012551,Khalil Aouasti
Q65282882,Kim Buyst
Q17149749,Koen Metsu
Q65283145,Kris Verduyckt
Q1960865,Kristien Van Vaerenbergh
Q2633390,Kristof Calvo
Q65270643,Kurt Ravyts
Q69745260,Laurence Hennuy
Q64531877,Laurence Zanchetta
Q60522578,Le Z
Q3228978,Leen Dierick
Q2800268,Maggie De Block
Q65282530,Malik Ben Achour
Q16662935,Marco Van Hees
Q64688251,Maria Vindevoghel
Q65150109,Marianne Verhaert
Q3291646,Marie-Christine Marghem
Q64140507,Marie-Colline Leroy
Q3293055,Marijke Dillen
Q3302670,Maxime Prévot
Q65177149,Melissa Depraetere
Q18225134,Michael Freilich
Q24951095,Michel De Maegd
Q65282815,Mélissa Hanus
Q64490217,Nabil Boukili
Q64688325,Nadia Moscufo
Q3335143,Nahima Lanjri
Q65270259,Nathalie Dewulf
Q3336592,Nathalie Gilson
Q524806,Nathalie Muylle
Q64210712,Nawal Farih
Q101012955,Nicolas Parent
Q2110597,Ortwin Depoortere
Q15992,Patrick Dewael
Q17350856,Patrick Prévot
Q17428066,Peter Buysrogge
Q14084072,Peter De Roover
Q2074019,Peter Mertens
Q3379933,Philippe Goffin
Q3380542,Philippe Pivin
Q68012690,Philippe Tison
Q65270026,Pieter De Spiegeleer
Q16672153,Raoul Hedebouw
Q65271257,Reccino Van Lommel
Q1991899,Robby De Caluwé
Q64140271,Samuel Cogolati
Q18336548,Sander Loones
Q2032311,Servais Verherstraeten
Q100889225,Sigrid Goethals
Q64140417,Simon Moutquin
Q64686920,Sofie Merckx
Q3490906,Sophie De Wit
Q64080264,Sophie Rohonyi
Q65282711,Sophie Thémont
Q2025218,Stefaan Van Hecke
Q65269827,Steven Creyelman
Q64210679,Steven De Vuyst
Q71255532,Steven Matheï
Q64140542,Séverine de Laveleye
Q91117745,Tania De Jonge
Q2072384,Theo Francken
Q64686909,Thierry Warmoes
Q14856202,Tim Vandenput
Q17300271,Tom Van Grieken
Q64210672,Tomas Roggeman
Q17149643,Valerie Van Peel
Q3554546,Vanessa Matz
Q99860152,Vicky Reynaert
Q15883457,Vincent Scourneau
Q29051908,Wim Van der Donckt
Q2562437,Wouter De Vriendt
Q18286545,Wouter Raskin
Q65271335,Wouter Vermeersch
Q64210667,Yngvild Ingels
Q17191473,Yoleen Van Camp
Q3593705,Özlem Özen
